2025-11-15 23:22:42.253 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-15 23:22:42.365 [main] INFO  c.t.s.MsSolicitudesApplication - Starting MsSolicitudesApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 21296 (D:\Users\Usuario\Desktop\backend1\ms-solicitudes\target\ms-solicitudes-0.0.1-SNAPSHOT.jar started by Usuario- in D:\Users\Usuario\Desktop\backend1)
2025-11-15 23:22:42.369 [main] DEBUG c.t.s.MsSolicitudesApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2025-11-15 23:22:42.373 [main] INFO  c.t.s.MsSolicitudesApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-15 23:22:44.769 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-15 23:22:45.107 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 322 ms. Found 5 JPA repository interfaces.
2025-11-15 23:22:46.665 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2025-11-15 23:22:46.689 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2025-11-15 23:22:46.705 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-15 23:22:46.709 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-11-15 23:22:46.785 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-15 23:22:46.786 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4305 ms
2025-11-15 23:22:47.246 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-15 23:22:47.611 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@ff21443
2025-11-15 23:22:47.615 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-15 23:22:47.675 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/solicitudes_db (PostgreSQL 16.10)
2025-11-15 23:22:47.850 [main] INFO  o.f.c.internal.command.DbValidate - Successfully validated 5 migrations (execution time 00:00.079s)
2025-11-15 23:22:47.917 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 005
2025-11-15 23:22:47.925 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2025-11-15 23:22:48.098 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-15 23:22:48.233 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-11-15 23:22:48.307 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-11-15 23:22:48.746 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-15 23:22:48.818 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-11-15 23:22:50.239 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-15 23:22:50.925 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-15 23:22:52.585 [main] DEBUG o.s.s.c.a.a.c.AuthenticationConfiguration$DefaultPasswordEncoderAuthenticationManagerBuilder - No authenticationProviders and no parentAuthenticationManager defined. Returning null.
2025-11-15 23:22:53.702 [main] DEBUG o.s.s.w.DefaultSecurityFilterChain - Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, LogoutFilter, BearerTokenAuthenticationFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, SessionManagementFilter, ExceptionTranslationFilter, AuthorizationFilter
2025-11-15 23:22:54.810 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2025-11-15 23:22:54.826 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2025-11-15 23:22:54.845 [main] INFO  c.t.s.MsSolicitudesApplication - Started MsSolicitudesApplication in 13.315 seconds (process running for 14.765)
2025-11-15 23:23:17.362 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-11-15 23:23:17.368 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-11-15 23:23:17.387 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-11-15 23:23:40.885 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-15 23:23:40.965 [main] INFO  c.t.s.MsSolicitudesApplication - Starting MsSolicitudesApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 15204 (D:\Users\Usuario\Desktop\backend1\ms-solicitudes\target\ms-solicitudes-0.0.1-SNAPSHOT.jar started by Usuario- in D:\Users\Usuario\Desktop\backend1)
2025-11-15 23:23:40.965 [main] DEBUG c.t.s.MsSolicitudesApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2025-11-15 23:23:40.966 [main] INFO  c.t.s.MsSolicitudesApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-15 23:23:42.803 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
